Xp,Yp,Zp
4510094.566482120200000000,4510094.566482120200000000,1105.760206007309500000
4510377.409190286900000000,4510377.409190286000000000,1105.830019177034700000
4510730.962575495200000000,4510730.962575494300000000,1105.917285639191500000
4517094.923509245700000000,4517094.923509244800000000,1107.488081958011400000
4545379.194325913700000000,4545379.194325912700000000,1114.469398930544900000
4580734.532846747900000000,4580734.532846747900000000,1123.196045146211900000
4651445.209888417300000000,4651445.209888416300000000,1140.649337577545600000
4722155.886930087600000000,4722155.886930086600000000,1158.102630008879300000
4792866.563971757000000000,4792866.563971756000000000,1175.555922440213000000
4863577.241013426300000000,4863577.241013425400000000,1193.009214871546600000
5040353.933617600200000000,5040353.933617599300000000,1236.642445949880800000
5217130.626221774100000000,5217130.626221773200000000,1280.275677028214900000
6277790.781846817600000000,6277790.781846816700000000,1542.075063498220300000
8045557.707888556600000000,8045557.707888554800000000,1978.407374281562200000
8752664.478305250400000000,8752664.478305250400000000,2152.940298594899100000
9459771.248721946000000000,9459771.248721944200000000,2327.473222908236000000
10166878.019138642000000000,10166878.019138640000000000,2502.006147221572500000
10873984.789555339000000000,10873984.789555337000000000,2676.539071534909500000
11581091.559972033000000000,11581091.559972031000000000,2851.071995848246400000
15116625.412055511000000000,15116625.412055507000000000,3723.736617414930200000
18652159.264138989000000000,18652159.264138985000000000,4596.401238981614400000
22187693.116222467000000000,22187693.116222464000000000,5469.065860548297700000
25723226.968305942000000000,25723226.968305938000000000,6341.730482114981900000
29258760.820389420000000000,29258760.820389416000000000,7214.395103681666100000
32794294.672472902000000000,32794294.672472894000000000,8087.059725248350300000
39865362.376639858000000000,39865362.376639850000000000,9832.388968381717900000
57543031.637057245000000000,57543031.637057237000000000,14195.712076215139000000
75220700.897474632000000000,75220700.897474617000000000,18559.035184048560000000
145931377.939144190000000000,145931377.939144160000000000,36012.327615382244000000
216642054.980813740000000000,216642054.980813710000000000,53465.620046715921000000
251997393.501648490000000000,251997393.501648460000000000,62192.266262382764000000
287352732.022483290000000000,287352732.022483230000000000,70918.912478049606000000
358063409.064152840000000000,358063409.064152780000000000,88372.204909383290000000
534840101.668326680000000000,534840101.668326560000000000,132005.435987717470000000
711616794.272500510000000000,711616794.272500400000000000,175638.667066051680000000
4509412.322772991800000000,4509412.322772991800000000,110570.520065210380000000
4509695.122407152300000000,4509695.122407151400000000,110577.501027785290000000
4510048.621949850600000000,4510048.621949850600000000,110586.227231003930000000
4516411.613718440800000000,4516411.613718439800000000,110743.298888939480000000
4544691.577134393200000000,4544691.577134393200000000,111441.395146430820000000
4580041.531404335100000000,4580041.531404334100000000,112314.015468294990000000
4650741.439944217000000000,4650741.439944216100000000,114059.256112023340000000
4721441.348484099800000000,4721441.348484098900000000,115804.496755751690000000
4792141.257023981800000000,4792141.257023981800000000,117549.737399480060000000
4862841.165563864600000000,4862841.165563863700000000,119294.978043208410000000
5039590.936913570400000000,5039590.936913570400000000,123658.079652529280000000
5216340.708263277100000000,5216340.708263276100000000,128021.181261850160000000
6276839.336361512500000000,6276839.336361511600000000,154199.790917775420000000
8044337.049858573800000000,8044337.049858572900000000,197830.807010984190000000
8751336.135257396800000000,8751336.135257395000000000,215283.213448267720000000
9458335.220656221700000000,9458335.220656219900000000,232735.619885551220000000
10165334.306055047000000000,10165334.306055045000000000,250188.026322834750000000
10872333.391453872000000000,10872333.391453870000000000,267640.432760118270000000
11579332.476852696000000000,11579332.476852695000000000,285092.839197401770000000
15114327.903846815000000000,15114327.903846813000000000,372354.871383819320000000
18649323.330840938000000000,18649323.330840938000000000,459616.903570236870000000
22184318.757835060000000000,22184318.757835057000000000,546878.935756654480000000
25719314.184829183000000000,25719314.184829179000000000,634140.967943071970000000
29254309.611823298000000000,29254309.611823294000000000,721403.000129489460000000
32789305.038817424000000000,32789305.038817417000000000,808665.032315907070000000
39859295.892805666000000000,39859295.892805658000000000,983189.096688742170000000
57534273.027776271000000000,57534273.027776264000000000,1419499.257620829900000000
75209250.162746876000000000,75209250.162746862000000000,1855809.418552917700000000
145909158.702629330000000000,145909158.702629300000000000,3601050.062281269100000000
216609067.242511750000000000,216609067.242511720000000000,5346290.706009619900000000
251959021.512452990000000000,251959021.512452930000000000,6218911.027873795500000000
287308975.782394170000000000,287308975.782394110000000000,7091531.349737971100000000
358008884.322276590000000000,358008884.322276530000000000,8836771.993466321400000000
534758655.671982650000000000,534758655.671982590000000000,13199873.602787200000000000
711508427.021688700000000000,711508427.021688580000000000,17562975.212108079000000000
4507365.582269314700000000,4507365.582269313700000000,221108.035260787180000000
4507648.252681651200000000,4507648.252681650200000000,221121.995059468170000000
4508001.590697071500000000,4508001.590697070600000000,221139.444807819440000000
4514361.674974639000000000,4514361.674974639000000000,221453.540278141940000000
4542628.716208272600000000,4542628.716208271700000000,222849.520146241990000000
4577962.517750314400000000,4577962.517750313500000000,224594.494981367020000000
4648630.120834397200000000,4648630.120834396200000000,228084.444651617120000000
4719297.723918481700000000,4719297.723918480800000000,231574.394321867240000000
4789965.327002564400000000,4789965.327002563500000000,235064.343992117330000000
4860632.930086648100000000,4860632.930086647200000000,238554.293662367420000000
5037301.937796856300000000,5037301.937796855300000000,247279.167837992660000000
5213970.945507065400000000,5213970.945507064500000000,256004.042013617900000000
6273984.991768316400000000,6273984.991768315400000000,308353.287067369380000000
8040675.068870403800000000,8040675.068870401900000000,395602.028823621800000000
8747351.099711237500000000,8747351.099711237500000000,430501.525526122770000000
9454027.130552073900000000,9454027.130552072100000000,465401.022228623740000000
10160703.161392909000000000,10160703.161392907000000000,500300.518931124710000000
10867379.192233743000000000,10867379.192233741000000000,535200.015633625680000000
11574055.223074576000000000,11574055.223074574000000000,570099.512336126650000000
15107435.377278751000000000,15107435.377278749000000000,744596.995848631490000000
18640815.531482924000000000,18640815.531482920000000000,919094.479361136330000000
22174195.685687095000000000,22174195.685687091000000000,1093591.962873641200000000
25707575.839891266000000000,25707575.839891262000000000,1268089.446386145900000000
29240955.994095441000000000,29240955.994095437000000000,1442586.929898650900000000
32774336.148299616000000000,32774336.148299608000000000,1617084.413411155800000000
39841096.456707954000000000,39841096.456707954000000000,1966079.380436165500000000
57507997.227728829000000000,57507997.227728821000000000,2838566.797998689600000000
75174897.998749688000000000,75174897.998749673000000000,3711054.215561213400000000
145842501.082833140000000000,145842501.082833110000000000,7201003.885811310300000000
216510104.166916610000000000,216510104.166916580000000000,10690953.556061408000000000
251843905.708958330000000000,251843905.708958300000000000,12435928.391186457000000000
287177707.251000050000000000,287177707.250999990000000000,14180903.226311505000000000
357845310.335083540000000000,357845310.335083480000000000,17670852.896561604000000000
534514318.045292140000000000,534514318.045292080000000000,26395727.072186846000000000
711183325.755500790000000000,711183325.755500670000000000,35120601.247812085000000000
4503954.999144597900000000,4503954.999144597000000000,331579.548938515010000000
4504237.454230965100000000,4504237.454230964200000000,331600.483321012170000000
4504590.523088924600000000,4504590.523088923700000000,331626.651299133660000000
4510945.762532186700000000,4510945.762532186700000000,332097.674905320110000000
4539191.271168911800000000,4539191.271168911800000000,334191.113155037860000000
4574498.156964818900000000,4574498.156964818000000000,336807.910967185100000000
4645111.928556631300000000,4645111.928556630400000000,342041.506591479470000000
4715725.700148443700000000,4715725.700148442800000000,347275.102215773830000000
4786339.471740257000000000,4786339.471740256100000000,352508.697840068200000000
4856953.243332069400000000,4856953.243332068400000000,357742.293464362620000000
5033487.672311601200000000,5033487.672311600300000000,370826.282525098590000000
5210022.101291132200000000,5210022.101291131200000000,383910.271585834500000000
6269228.675168321500000000,6269228.675168320500000000,462414.205950250270000000
8034572.964963637300000000,8034572.964963635400000000,593254.096557609850000000
8740710.680881762900000000,8740710.680881762900000000,645590.052800553620000000
9446848.396799890300000000,9446848.396799888500000000,697926.009043497500000000
10152986.112718016000000000,10152986.112718016000000000,750261.965286441260000000
10859123.828636143000000000,10859123.828636141000000000,802597.921529385140000000
11565261.544554271000000000,11565261.544554269000000000,854933.877772329030000000
15095950.124144901000000000,15095950.124144897000000000,1116613.658987048100000000
18626638.703735534000000000,18626638.703735530000000000,1378293.440201767300000000
22157327.283326164000000000,22157327.283326160000000000,1639973.221416486200000000
25688015.862916794000000000,25688015.862916790000000000,1901653.002631205400000000
29218704.442507427000000000,29218704.442507423000000000,2163332.783845924800000000
32749393.022098061000000000,32749393.022098053000000000,2425012.565060643500000000
39810770.181279317000000000,39810770.181279317000000000,2948372.127490081800000000
57464213.079232477000000000,57464213.079232462000000000,4256771.033563677200000000
75117655.977185622000000000,75117655.977185622000000000,5565169.939637273600000000
145731427.568998280000000000,145731427.568998250000000000,10798765.563931657000000000
216345199.160810890000000000,216345199.160810860000000000,16032361.188226039000000000
251652084.956717160000000000,251652084.956717130000000000,18649159.000373229000000000
286958970.752623500000000000,286958970.752623440000000000,21265956.812520422000000000
357572742.344436110000000000,357572742.344436050000000000,26499552.436814804000000000
534107171.323967700000000000,534107171.323967580000000000,39583541.497550763000000000
710641600.303499220000000000,710641600.303499100000000000,52667530.558286719000000000
4499181.549880486900000000,4499181.549880486000000000,441952.080895376680000000
4499463.703602329800000000,4499463.703602328900000000,441979.983484874300000000
4499816.395754633500000000,4499816.395754632500000000,442014.861721746390000000
4506164.854496092500000000,4506164.854496091600000000,442642.669985443530000000
4534380.226680358900000000,4534380.226680357900000000,445432.928935208530000000
4569649.441910690600000000,4569649.441910689700000000,448920.752622414790000000
4640187.872371354100000000,4640187.872371353200000000,455896.399996827360000000
4710726.302832017700000000,4710726.302832017700000000,462872.047371239870000000
4781264.733292682100000000,4781264.733292681200000000,469847.694745652380000000
4851803.163753346500000000,4851803.163753345600000000,476823.342120064950000000
5028149.239905006300000000,5028149.239905005300000000,494262.460556096220000000
5204495.316056666000000000,5204495.316056665000000000,511701.578992127560000000
6262571.772966625200000000,6262571.772966624200000000,616336.289608315450000000
8026032.534483224200000000,8026032.534483223200000000,790727.473968628680000000
8731416.839089864900000000,8731416.839089863000000000,860483.947712754020000000
9436801.143696503700000000,9436801.143696503700000000,930240.421456879350000000
10142185.448303143000000000,10142185.448303143000000000,999996.895201004580000000
10847569.752909783000000000,10847569.752909781000000000,1069753.368945129900000000
11552954.057516424000000000,11552954.057516422000000000,1139509.842689255300000000
15079875.580549622000000000,15079875.580549620000000000,1488292.211409881700000000
18606797.103582822000000000,18606797.103582818000000000,1837074.580130508200000000
22133718.626616020000000000,22133718.626616016000000000,2185856.948851134600000000
25660640.149649218000000000,25660640.149649214000000000,2534639.317571761600000000
29187561.672682416000000000,29187561.672682408000000000,2883421.686292388000000000
