ID ,fi_org,h_org,fi_Tri,h_Tri,fi_Halley, h_Halley
1,0.01,100,-7.8481E-05,0.374683395,-1.249E-08,0.317925242
2,0.01,500,6.46982E-06,0.010743406,-6.245E-09,-0.692921276
3,0.01,1000,-6.7446E-07,0.021486812,0,-0.836053005
4,0.01,10000,-1.05541E-06,0.216459739,-6.245E-09,0.767613528
5,0.01,50000,2.2482E-07,0.145519152,-6.245E-09,1.193257049
6,0.01,100000,2.31065E-07,0.291038305,1.249E-08,0.33469405
7,0.01,200000,-5.6205E-08,-0.349245965,-6.245E-09,0.931322575
8,0.01,300000,6.245E-09,-0.058207661,1.249E-08,1.746229827
9,0.01,400000,-1.249E-08,0.232830644,0,1.164153218
10,0.01,500000,1.8735E-08,-0.407453626,-6.245E-09,0.931322575
11,0.01,750000,-3.747E-08,0.349245965,-6.245E-09,1.862645149
12,0.01,1000000,1.249E-08,0.232830644,-6.245E-09,0
13,0.01,2500000,-1.249E-08,0.931322575,0,0
14,0.01,5000000,-6.245E-09,0.931322575,0,0.931322575
15,0.01,6000000,6.245E-09,0,1.249E-08,2.793967724
16,0.01,7000000,1.249E-08,-0.931322575,1.249E-08,0
17,0.01,8000000,0,-1.862645149,1.249E-08,-0.931322575
18,0.01,9000000,1.249E-08,0,1.249E-08,0
19,0.01,10000000,-6.245E-09,0,-6.245E-09,0
20,0.01,15000000,0,-1.862645149,-1.249E-08,1.862645149
21,0.01,20000000,-1.249E-08,0,-6.245E-09,3.725290298
22,0.01,25000000,-6.245E-09,3.725290298,-6.245E-09,3.725290298
23,0.01,30000000,-6.245E-09,-3.725290298,-6.245E-09,0
24,0.01,35000000,6.245E-09,0,-6.245E-09,7.450580597
25,0.01,40000000,-6.245E-09,0,0,0
26,0.01,50000000,0,7.450580597,0,14.90116119
27,0.01,75000000,-6.245E-09,0,-6.245E-09,0
28,0.01,100000000,-6.245E-09,14.90116119,0,0
29,0.01,200000000,1.249E-08,29.80232239,1.249E-08,29.80232239
30,0.01,300000000,6.245E-09,0,-6.245E-09,59.60464478
31,0.01,350000000,1.249E-08,0,1.249E-08,0
32,0.01,400000000,6.245E-09,59.60464478,-6.245E-09,59.60464478
33,0.01,500000000,1.249E-08,0,-6.245E-09,119.2092896
34,0.01,750000000,0,0,1.249E-08,0
35,0.01,1000000000,-6.245E-09,-119.2092896,1.249E-08,-238.4185791
36,1,100,0.006864109,0.985892257,0,0.127627686
37,1,500,-0.000573142,1.201385658,0,0.86856744
38,1,1000,-0.000146283,-0.390627974,0,-1.061152943
39,1,10000,3.35731E-05,-0.18189894,0,0.312866177
40,1,50000,-2.39808E-05,0.021827873,-1.9984E-06,0.276486389
41,1,100000,9.59233E-06,-1.804437488,7.99361E-07,1.120497473
42,1,200000,2.39808E-06,-0.844011083,-1.59872E-06,0.291038305
43,1,300000,-5.59552E-06,1.105945557,-1.59872E-06,-0.407453626
44,1,400000,-9.19265E-06,0.058207661,0,0.116415322
45,1,500000,-3.19744E-06,1.105945557,-3.9968E-07,0.465661287
46,1,750000,-3.9968E-06,1.28056854,-1.59872E-06,-0.232830644
47,1,1000000,-2.79776E-06,0.349245965,-3.59712E-06,1.862645149
48,1,2500000,0,-1.396983862,-1.83853E-05,-1.396983862
49,1,5000000,-1.59872E-06,0,-5.43565E-05,0.931322575
50,1,6000000,0,-0.931322575,-6.55476E-05,0
51,1,7000000,0,-0.931322575,-7.63389E-05,-0.931322575
52,1,8000000,0,0.931322575,-8.43325E-05,0
53,1,9000000,-7.99361E-07,0,-9.19265E-05,0
54,1,10000000,0,1.862645149,-9.91207E-05,1.862645149
55,1,15000000,-7.99361E-07,0,-0.000115907,-1.862645149
56,1,20000000,-3.9968E-07,0,-0.000116707,0
57,1,25000000,7.99361E-07,3.725290298,-0.000114309,3.725290298
58,1,30000000,-1.9984E-06,3.725290298,-0.000109512,3.725290298
59,1,35000000,-1.59872E-06,0,-0.000104317,-7.450580597
60,1,40000000,1.59872E-06,0,-9.91207E-05,0
61,1,50000000,-7.99361E-07,7.450580597,-8.8729E-05,0
62,1,75000000,-3.9968E-07,0,-6.7546E-05,0
63,1,100000000,-7.99361E-07,0,-5.63549E-05,14.90116119
64,1,200000000,0,0,-3.19744E-05,0
65,1,300000000,-2.39808E-06,0,-2.27818E-05,59.60464478
66,1,350000000,0,59.60464478,-1.91847E-05,59.60464478
67,1,400000000,-3.9968E-07,0,-1.63869E-05,0
68,1,500000000,0,0,-1.35891E-05,-59.60464478
69,1,750000000,-3.9968E-07,0,-9.19265E-06,0
70,1,1000000000,-7.99361E-07,0,-7.19425E-06,0
