fi,lamda,h
0.01,45,100.000000000000000000
0.01,45,500.000000000000000000
0.01,45,1000.000000000000000000
0.01,45,10000.000000000000000000
0.01,45,50000.000000000000000000
0.01,45,100000.000000000000000000
0.01,45,200000.000000000000000000
0.01,45,300000.000000000000000000
0.01,45,400000.000000000000000000
0.01,45,500000.000000000000000000
0.01,45,750000.000000000000000000
0.01,45,1000000.000000000000000000
0.01,45,2500000.000000000000000000
0.01,45,5000000.000000000000000000
0.01,45,6000000.000000000000000000
0.01,45,7000000.000000000000000000
0.01,45,8000000.000000000000000000
0.01,45,9000000.000000000000000000
0.01,45,10000000.000000000000000000
0.01,45,15000000.000000000000000000
0.01,45,20000000.000000000000000000
0.01,45,25000000.000000000000000000
0.01,45,30000000.000000000000000000
0.01,45,35000000.000000000000000000
0.01,45,40000000.000000000000000000
0.01,45,50000000.000000000000000000
0.01,45,75000000.000000000000000000
0.01,45,100000000.000000000000000000
0.01,45,200000000.000000000000000000
0.01,45,300000000.000000000000000000
0.01,45,350000000.000000000000000000
0.01,45,400000000.000000000000000000
0.01,45,500000000.000000000000000000
0.01,45,750000000.000000000000000000
0.01,45,1000000000.000000000000000000
1,45,100.000000000000000000
1,45,500.000000000000000000
1,45,1000.000000000000000000
1,45,10000.000000000000000000
1,45,50000.000000000000000000
1,45,100000.000000000000000000
1,45,200000.000000000000000000
1,45,300000.000000000000000000
1,45,400000.000000000000000000
1,45,500000.000000000000000000
1,45,750000.000000000000000000
1,45,1000000.000000000000000000
1,45,2500000.000000000000000000
1,45,5000000.000000000000000000
1,45,6000000.000000000000000000
1,45,7000000.000000000000000000
1,45,8000000.000000000000000000
1,45,9000000.000000000000000000
1,45,10000000.000000000000000000
1,45,15000000.000000000000000000
1,45,20000000.000000000000000000
1,45,25000000.000000000000000000
1,45,30000000.000000000000000000
1,45,35000000.000000000000000000
1,45,40000000.000000000000000000
1,45,50000000.000000000000000000
1,45,75000000.000000000000000000
1,45,100000000.000000000000000000
1,45,200000000.000000000000000000
1,45,300000000.000000000000000000
1,45,350000000.000000000000000000
1,45,400000000.000000000000000000
1,45,500000000.000000000000000000
1,45,750000000.000000000000000000
1,45,1000000000.000000000000000000
2,45,100.000000000000000000
2,45,500.000000000000000000
2,45,1000.000000000000000000
2,45,10000.000000000000000000
2,45,50000.000000000000000000
2,45,100000.000000000000000000
2,45,200000.000000000000000000
2,45,300000.000000000000000000
2,45,400000.000000000000000000
2,45,500000.000000000000000000
2,45,750000.000000000000000000
2,45,1000000.000000000000000000
2,45,2500000.000000000000000000
2,45,5000000.000000000000000000
2,45,6000000.000000000000000000
2,45,7000000.000000000000000000
2,45,8000000.000000000000000000
2,45,9000000.000000000000000000
2,45,10000000.000000000000000000
2,45,15000000.000000000000000000
2,45,20000000.000000000000000000
2,45,25000000.000000000000000000
2,45,30000000.000000000000000000
2,45,35000000.000000000000000000
2,45,40000000.000000000000000000
2,45,50000000.000000000000000000
2,45,75000000.000000000000000000
2,45,100000000.000000000000000000
2,45,200000000.000000000000000000
2,45,300000000.000000000000000000
2,45,350000000.000000000000000000
2,45,400000000.000000000000000000
2,45,500000000.000000000000000000
2,45,750000000.000000000000000000
2,45,1000000000.000000000000000000
3,45,100.000000000000000000
3,45,500.000000000000000000
3,45,1000.000000000000000000
3,45,10000.000000000000000000
3,45,50000.000000000000000000
3,45,100000.000000000000000000
3,45,200000.000000000000000000
3,45,300000.000000000000000000
3,45,400000.000000000000000000
3,45,500000.000000000000000000
3,45,750000.000000000000000000
3,45,1000000.000000000000000000
3,45,2500000.000000000000000000
3,45,5000000.000000000000000000
3,45,6000000.000000000000000000
3,45,7000000.000000000000000000
3,45,8000000.000000000000000000
3,45,9000000.000000000000000000
3,45,10000000.000000000000000000
3,45,15000000.000000000000000000
3,45,20000000.000000000000000000
3,45,25000000.000000000000000000
3,45,30000000.000000000000000000
3,45,35000000.000000000000000000
3,45,40000000.000000000000000000
3,45,50000000.000000000000000000
3,45,75000000.000000000000000000
3,45,100000000.000000000000000000
